accountsservice 0.6.55-3
stacer-bin 1.1.0-3
steam-manjaro 1.0.0.73-1
sublime-text 4121-1
sudo 1.9.8.p2-3
sysfsutils 2.1.1-1
systemd-fsck-silent 239-1
systemd-sysvcompat 249.7-2
tar 1.34-1
telegram-desktop 3.2.5-1
terminus-font 4.49.1-2
texinfo 6.8-2
thunar 4.16.10-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
timeshift-autosnap-manjaro 0.10-1
tlp 1.4.0-6
transmission-gtk 3.00-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-fira-code 6.1-1
ttf-joypixels 6.6.0-1
ttf-meslo-nerd-font-powerlevel10k 20200322-1
tumbler 4.16.0-3
udiskie 2.3.3-1
udisks2 2.9.4-1
unace 2.5-11
unrar 1:6.1.2-1
usb_modeswitch 2.6.1-1
usbutils 014-1
util-linux 2.37.2-1
vazir-fonts 30.1.0-1
vi 1:070224-5
visual-studio-code-bin 1.63.0-1
wget 1.21.2-1
which 2.21-5
wine 6.23-1
wine-mono 7.0.0-1
winetricks 20210825-1
wpa_supplicant 2:2.9-8
xcursor-simpleandsoft 0.2-9
xcursor-vanilla-dmz-aa 0.4.5-2
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdman 2020.7.2.11-2
xf86-input-elographics 1.4.2-3
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.2.0-2
xf86-input-void 1.4.1-6
xfce4-appfinder 4.16.1-2
xfce4-battery-plugin 1.1.4-1
xfce4-clipman-plugin 1.6.2-1
xfce4-notifyd 0.6.2-2
xfce4-panel 4.16.3-2
xfce4-power-manager 4.16.0-3
xfce4-pulseaudio-plugin 0.4.3-1.1
xfce4-screenshooter 1.9.9-2
xfce4-session 4.16.0-2
xfce4-settings 4.16.2-1
xfce4-taskmanager 1.4.2-1
xfce4-terminal 0.8.10-2
xfce4-whiskermenu-plugin 2.7.0-1
xfce4-xkb-plugin 0.8.2-1
xfconf 4.16.0-2
xfdesktop 4.16.0-2
xfsprogs 5.14.0-1
xfwm4 4.16.1-3
xiccd 0.3.0-1
xorg-mkfontscale 1.2.1-2
xorg-server 21.1.1-3.1
